Content,Category Code
A typhoon stronger than the cyclone that ravaged Bangladesh nearly two weeks ago raged towards the Philippines on Sunday with winds gusting up to 275 kph (171 mph).,1
"A tornado hit the southern Philippines, relief officials said on Wednesday.",1
"The Philippines' Mayon volcano, rocked by 260 earthquakes within a few hours, erupted for the fourth day on Wednesday but scientists said the worst was yet to come.",1
A massive tidal wave powered by an earthquake swept away villages in Papua New Guinea with a confirmed death toll of least 70 and disaster officials said on Saturday hundreds of children and adults were feared dead.,1
"Thick smog from forest fires in Indonesia has left a remote southern Philippine town in darkness, preventing fishermen from going out to sea, the local mayor said on Wednesday.",1
A heatwave has killed more than 750 people in Chicago.,1
Hundreds of local people on Tuesday mopped up an oil spill from a sunken cargo ship that reached a coastal area near Athens.,1
Japan's second-largest power utility Kansai Electric Power Co Inc detected a small leak of radioactive steam early on Wednesday at a nuclear power plant.,1
New technology has given Russians a virtual reality surprise.,1
"A group of thirsty monkeys stoned a herdsman to death in drought-stricken northern Kenya as he watered his livestock, a newspaper reported on Thursday.",1
"Cairo airport veterinarians on Wednesday destroyed eight uncertified monkeys traveling with Sudanese passengers, fearing the quarantined animals posed an epidemic threat, airport sources said.",1
"Invading Chinese mosquitoes are infecting Japanese cows with a deadly disease, scientists said on Friday.",1
"An owl in the southern Chinese province of Jiangxi has built a nest in a farmer's house so that he can watch the silver screen every night, the China Daily said on Monday.",1
Musicians in billowy white dresses began performing to a sold out North Korean crowd.,1
Two British hot-air balloonists trying to circle the world non-stop set a new world record on Saturday for the longest continuous flight without being refuelled from another aircraft.,1
Bosnian President Alija Izetbegovic said on Wednesday that despite recent progress in peace talks a ceasefire in his country's 41-month war would not be possible until separatist Serbs made a number of concessions.,1
The main rebel group in the Democratic Republic of Congo said on Friday it would block a planned deployment of United Nations peacekeepers until they investigated alleged atrocities by government troops.,0
A spokesman for the the Angolan rebel movement UNITA in Lisbon said on Friday that UNITA would not sign a new peace agreement with the government on Sunday as planned.,0
Bulgaria rejected a call on Monday to help create a land corridor to supply fuel to neighbouring rump Yugoslavia in defiance of United Nations' sanctions.,0
The Yugoslav army on Friday rejected a request for an urgent meeting by Serbian opposition officials struggling to oust President Slobodan Milosevic.,0
"Yugoslav President Slobodan Milosevic has rejected a Russian offer to mediate in the country's political crisis, opposition sources said on Saturday, in a show of determination to hold onto power.",0
"Russian forces imposed a night curfew in the Chechen capital Grozny on Monday, Itar-Tass news agency said.",0
"Serbia banned the only Albanian-language daily newspaper in its predominantly ethnic Albanian province of Kosovo, Tanjug news agency said.",1
Russia used its veto in the U.N. to oppose the use of force to resolve the Kosovo crisis.,0
"A Russian diplomat has defected from his post in Paris, and taken his wife and daughter into hiding in England, Itar-Tass news agency said on Thursday.",1
A Moslem woman identified a defendant in a Sarajevo war crimes trial on Saturday.,1
A Russian tour guide smuggled hundreds of Middle East boat people to the Sweden's island of Gotland.,1
Ecuador accused the United States of dragging out a dispute with the European Union over banana trade.,0
Japan's Imperial Household Agency complained to a Japanese firm that has made a telephone card with a picture of the Crown Prince and his bride-to-be in formal dress.,1
"The Commonwealth's Transcaucasian command sent a formal protest to Azerbaijan on Sunday after Azeri shelling killed a soldier and wounded nine others in Stepanakert, capital of Nagorno-Karabakh.",0
Colombia's President-elect Ernesto Samper denied news reports that claimed he had received campaign donations from the Cali cartel.,0
"Prosecutors are investigating rape allegations against two Finnish U.N. peacekeepers in Bosnia, a defence ministry official said on Thursday.",0
"An investigating judge has expanded an investigation of four Bosnian Croats allegedly involved in a 1993 massacre of Muslims in the Bosnian village of Ahmici, the state news agency Hina reported on Thursday.",0
"Around 20,000 Albanians rallied in Germany on Saturday to demand independence of the Yugoslav province of Kosovo.",0
A senior Canadian official on Thursday demanded that the international community provide much more support to the U.N.-led administration in Kosovo.,0
Furious Kosovo Serbs demanded the return of Serb and Yugoslav forces on Monday after an eruption of violence in and around the flashpoint city of Mitrovica.,1
Albanian politicians in Macedonia demanded international mediation in peace talks on Wednesday after Macedonian President Boris Trajkovski accused them of blocking negotiations.,1
"Yugoslavia demanded on Wednesday that the NATO-led peacekeeping force and U.N. mission pull out of Kosovo, saying they had failed to protect Serbs and other non-Albanians.",0
"The Security Council on Wednesday demanded an immediate halt to a continuing Croatian offensive into U.N.-protected areas of Croatia inhabited by Serbs that it said was ""in flagrant violation"" of a two-day-old resolution and warned of unspecified further action. ",0
Russia on Friday demanded a Security Council meeting on the NATO bombing on Bosnia.,0
"World governments must take tougher action to protect children from the horrors of war and ethnic cleansing, a European Union seminar demanded on Friday.",0
Taiwan's military has gone on high alert for the weekend inauguration of President-elect Chen Shui-bian.,0
China tested an underground nuclear device on Friday.,1
"Anthrax spores were found at the main post office in Boca Raton, Florida health officials said on Monday.",1
"Israeli warplanes staged mock air raids in south Lebanon on Monday, witnesses said.",1
The French aircraft carrier Foch conducted maneuvers off the port of Toulon on Thursday as part of NATO's display of force against Yugoslavia.,1
U.N. military observers have begun patrolling the edge of the Brcko corridor in northern Bosnia where Serb and Moslem forces have massed for a showdown battle.,1
"Russian ultranationalist leader Vladimir Zhirinovsky sexually harassed a magazine interviewer and her translator on a campaign trip, the magazine said Wednesday.",0
The Angolan rebel movement UNITA threatened to break off peace talks with the government on Wednesday unless Luanda explained an alleged attempt to kill UNITA leader Jonas Savimbi in an air raid at the weekend.,0
United States ambassador Chris Hill threatened to halt mediation unless ethnic Albanian guerrillas are allowed to attend Kosovo peace talks due to start in France on Saturday.,0
The European Union administrator for the divided Bosnian city of Mostar threatened on Friday to send home international police officers unless local Croats dropped a virtual blockade of their Moslem neighbours.,0
Bosnia's Moslem-led government Thursday threatened to call on consumers to boycott goods from any NATO state that obstructs the defence of the former Yugoslav republic.,0
"South Korea threatened on Wednesday to expel a Russian diplomat from Seoul after a South Korean diplomat in the Moscow embassy, who was accused of spying, was forced to leave Russia, the foreign ministry said.",0
"President Boris Yeltsin threatened to use military force against Chechen rebels unless they abide by Russia's demands over a military agreement by six p.m. (1400 GMT), Russian news agencies said.",0
The United States threatened to use a naval blockade to prevent cargo ships from entering Iraq.,0
U.S. President George Bush has threatened to launch an all out attack if Iraq refuses to get out of Kuwait.,1
The U.S. threatened to use its military arsenal in the event of an intervention by Soviet forces.,0
A lone man has been threatening to mail envelopes poisoned with anthrax to abortion clinics around the United States.,0
The Moldovan government on Sunday gave separatist rebels an ultimatum to hand in their guns within two days after nine people were killed in fresh clashes.,0
An Afghan guerrilla commander holding two hostages threatened more kidnappings if Islamabad does not return three confiscated Stinger missiles.,1
Scores of Japanese anti-nuclear campaigners staged a sit-in on Friday near Hiroshima's atom-bomb memorial to protest France's decision to resume testing nuclear weapons.,0
Tibetan monks marched through London on Saturday on the 32nd anniversary of China's occupation of Tibet.,0
"Russian nationalists desecrated a Jewish cemetery in St Petersburg on the eve of the Orthodox Easter, a duty police officer in Russia's second city said on Sunday.",1
Twelve Mongolian democracy activists began a hunger strike in Ulan Bator's central square on Wednesday to press demands for the resignation of President Zhambyn Batmunk.,0
Russia has activated three reserve divisions to quell the worst ethnic violence to explode since the break-up of the Soviet Union.,1
Israeli authorities have stepped up efforts to build a fortified electronic fence dividing Israel from the West Bank.,1
"Russia shut the border of breakaway Chechnya only a few hours after it was opened on Monday, having let only a few of the thousands of trapped refugees pass in each direction.",0
A group of Russian MPs cancelled a visit to Lithuania in protest of their Parliament favouring recognition of Chechen independence.,1
Russia cut off economic aid to Estonia on Friday in what could be the first retaliation to a new Estonian citizenship law passed this week.,0
"Major donors of humanitarian aid have reduced assistance after fighting resumed in war-torn Afghanistan, the United Nations said on Wednesday.",0
"Guinea-Bissau President Joao Bernardo Vieira, whose country is largely controlled by rebels, has suspended military cooperation with former colonial power Portugal, a Foreign Ministry official said on Thursday.",0
The West African bloc ECOWAS on Tuesday withdrew its small peacekeeping force sent to Guinea-Bissau to police a now shattered civil war accord.,1
Belarus President Alexander Lukashenko halted discussions with key parliament members to scrap a referendum on extending his powers.,0
Pakistani mediators seeking to prevent a bloody battle for Kabul walked out of talks with Afghanistan's Islamic Taleban militia.,0
"Sweden recalled its ambassador from Iraq on Thursday after Baghdad, ignoring appeals for clemency, hanged an Iraqi-born Swedish citizen accused of spying for Israel.",0
A truckers strike entered its ninth day on Tuesday amid reports that drivers were blocking highways to press their demands for more pay.,0
The United States declared war on Iraq while assuring Americans the crisis would not delay efforts to revive a moribund U.S. economy.,1
U.S. military chief General Colin Powell said on Wednesday NATO would need to remain strong.,0
NATO on Monday declined to comment on an estimate that Yugoslav army and special police troops in Kosovo were losing 90 to 100 dead per day in NATO air strikes.,0
Former West Germany Chancellor Willy Brandt said in a radio interview broadcast today he was skeptical over Moscow’s will to agree on limiting European-based nuclear weapons.,0
"Israeli Prime Minister Ehud Barak said Friday he was very pessimistic about the chances of resuming peace talks with Syria, Israel radio reported.",0
Turkish President Turgut Ozal said on Wednesday he was confident that the United States would remove irritants damaging relations between the two NATO allies.,0
The European Community said on Thursday it hoped the lifting of martial law in Beijing would lead to an improvement in human rights.,0
"Europe’s leading security forum is exploring the possibility of international patrols to monitor the former Yugoslav republic of Macedonia’s border with Serbia, its envoy said on Friday.",0
"Malaysia is considering giving money to 20,000 Vietnamese boat people in the country to entice them to return home, foreign minister said on Tuesday.",0
A Damascus-based Palestinian guerrilla group claimed responsibility on Saturday for attacks on Israeli troops from Jordan in the past two days.,0
The government of Liberia denied on Thursday charges by Ivory Coast that Monrovia is committing genocide.,0
"South Korea on Friday rejected as “totally baseless” accusations by Amnesty International that it had carried out mass arrests of political prisoners, but church human rights groups here supported the accusations.",0
Secretary-General Boutros Boutros-Ghali on Saturday expressed condolences to the United States for the death of three American diplomats.,0
President Reagan and Egyptian President Hosni Mubarak agreed today there was an urgent need for progress towards a Middle East settlement and that a freeze on Israeli settlements in occupied territories was also needed.,0
"Kenyan President Daniel Arap Moi on Monday urged Uganda to to repatriate “all Kenyan criminals hiding there” to face trial, accusing them of killing Kenyan policemen in cross-border raids recently.",0
"Outspoken Serbian ultra-nationalist leader Vojislav Seselj called on Arab countries to join forces against a possible US-led attack on Iraq, Tanjug news agency reported Wednesday.",0
Indian business leaders Friday called for greater impetus towards free trade despite mounting tensions between India and Pakistan.,0
"South Korea has requested to lease a Russian military training ground, military officers in Seoul said on Thursday.",0
"Turkey renewed an appeal to Belgium to extradite a far-left militant wanted for murder, Justice Minister Cemil Cicek said Thursday, slamming what he called lax international cooperation against terrorism.",0
Turkey said Monday it had asked Tehran and Damascus to provide urgent information about arms and ammunition seized last week in southeastern Turkey aboard six trucks travelling from Iran to Syria.,0
North Korean state media have called on the United States to forge “ties of confidence” with Pyongyang ahead of six-party nuclear talks expected to be held in Beijing on July 26.,0
"Charles Taylor called on Liberians to stand by him during these difficult days, “Soon this bad wind shall pass,” he moaned.",0
"Lebanese President Amin Gemayel has asked President Reagan for full United States support for Lebanon’s cause, the White House said today.",0
"Romania has asked the European Community for immediate delivery of additional aid, EC sources said on Thursday.",0
Russia and China will ask Asian banks to help finance construction of an $8 billion Trans-Siberian natural gas link to China.,0
"Angola has asked Portugal for military aid, especially instructors for its Soviet- and Cuban-trained armed forces, a Lisbon newspaper said today.",0
Oxfam Canada today called on the world community to help save tens of thousands of Afghan civilians threatened with starvation.,0
A group of prominent Liberians have written to President George Bush urging him to send U.S. peacekeeping troops to their capital Monrovia.,0
"About 300 representatives from Egyptian civil society organizations submitted the most recent in a series of reform petitions, under the title “In Defense of the Nation” to the Saudi royal family.",0
European ministers had called for Burma to institute reforms before joining the ASEAN.,0
Members of parliament from Kenya’s Liberal Democratic Party called on Energy Minister Kiraitu Murungi to resign in the wake of new evidence over Energy Minister Kiraitu Murungi to resign in the wake of new evidence over,0
The UN Security Council has called on Haiti’s interim government to hold elections by 7 February.,0
U.S. President George W. Bush said Friday that he will tell Japanese Prime Minister Junichiro Koizumi that Japan needs to enact significant economic reforms.,0
"Carl Bildt called for three urgent reforms in Swedish politics—tax reform, business reform and welfare reform—and stressed the creation of new jobs as the principal task for the future.",0
"The UN urged the Maoists rebels in Nepal to honor human rights, according to the UN High Commissioner for Human Rights (UNHCR).",0
The international committee of the Lebanese Living Abroad movement is contacting a number of Lebanese legislatures to propose a new addendum incorporating the right to vote abroad into the electoral law adopted for the upcoming parliamentary elections.,0
President Emile Lahoud has pushed the Lebanese Parliament for a new election law two days before he is to call parliamentary elections.,0
Scandal-plagued President Gloria Macapagal Arroyo on Monday urged Congress in the Philippines to change the constitution to shift to a parliamentary form of government to ease the country’s constant political instability.,0
"Israeli Prime Minister Ariel Sharon wants Germany to pay more compensation to the families of 11 Israeli athletes killed at the 1972 Munich Olympic Games, a statement from his office said Tuesday.",0
Dozens of journalists at Sudan’s most respected daily newspaper appealed to the Sudanese government on Wednesday to let them resume publishing and compensate them for lost wages.,0
"Human Rights Watch also called on Yemen, Algeria andMalaysia to immediately lift bans on newspapers closed in recent days for printing the caricatures.",0
"Islamic fundamentalist leaders appealed to their Muslim followers for an end to anti-government agitation, authorities said Monday.",0
The United States called on Israel to move forward with its “courageous and historic” disengagement plan as fast as possible.,0
"Iraq on Saturday appealed to the U.N. to bring an end to their trade embargo, which it said is causing huge shortages of medicine and food",0
An international aid agency appealed to the Sudanese government on Friday to urgently reconsider its ban on relief flights to southern Sudan.,0
The presidents of Iraq and Egypt called on Tuesday for the withdrawal of Syrian and other foreign forces from Lebanon to end 14 years of civil war there.,0
Leaders of the 16-member Economic Community of West African States (ECOWAS) called on Wednesday for an immediate ceasefire in war-torn Liberia.,0
El Salvador on Monday requested an urgent Security Council meeting on Wednesday to deal with what it called violations by Nicaragua of the Central American peace accords,0
"The Russian Foreign Minister Sergei Lavrov said here Saturday that he urges Iran and the EU trio (France, Germany, and Britain) to reach an agreement in their talks on Iran’s nuclear program.",0
The International Crisis Group has called on the UN stabilization mission in Haiti to broker an agreement among Haitians that “establishes common objectives for the next government.”,0
Senior Hungarian and Romanian officials agreed on Wednesday that their countries should cooperate to encourage Romanian refugees in Hungary to return home.,0
"The Asia-Pacific Economic Cooperation (APEC) forum has agreed to set up an energy research center in Tokyo to further develop its regional energy projections, officials said Thursday.",0
"The United States and Jordan have agreed upon a new free-trade pact between the two countries, the White House announced Tuesday.",0
"Jordan and Britain have agreed to undertake joint military exercises this month, a Jordanian official confirmed.",0
"Libya has offered to hand over to an Arab country two of its nationals suspected by the West of blowing up a Pan Am plane in 1988, a state-owned Egyptian newspaper said.",0
"Israel and the Palestinians reached a consensus to exchange information on water resources on the second day of a multilateral conference on water problems in the Middle East here Thursday, the meeting’s co-chairman said.",0
"The Turkish-Cypriot and Greek-Cypriot sides of this divided Mediterranean island have agreed to share information Friday on missing people from both communities, a UN official said on Monday.",0
"Portugal will support Turkey’s efforts to become a full member of the European Community, Portuguese President Mario Soares said on Tuesday.",0
Hungary has said it will support a U.N. Security Council resolution that aims to tighten sanctions and impose a naval blockade against neighboring Yugoslavia.,0
"NATO-member Norway is willing to send material to help defend Saudi Arabia if it is attacked, Norway’s foreign minister said.",0
"Finland will give Tanzania a grant of 580 million shillings (64.45 million dollars) over the next three years to finance several projects in the country, a statement issued by the ministry of finance said today",0
European Community foreign ministers agreed in principle on Saturday to provide about 70 million dollars of aid for Romania and Poland.,0
British Defence Secretary Tom King has promised to continue military aid to war-torn Mozambique.,0
Syria has again offered its troops to Lebanon’s new President Elias Hrawi to help him oust General Michel Aoun from the Christian enclave Aoun controls.,0
"The United Nations will provide nearly 25,000 tons of emergency food aid to refugees fleeing the civil war in Liberia, the World Food Program (WFP) said on Monday.",0
"France is ready to contribute up to 4,000 troops to an international peacekeeping force in Yugoslavia, Defence Minister Pierre Joxe said on Monday",0
The Security Council today agreed to a six-month extension of the mandate for the peacekeeping force in Lebanon (UNIFIL) despite Israel’s wish for a shorter period.,0
"Ousted President Askar Akayev has agreed to resign without returning to the Kyrgyzstan, the Parliament speaker said Saturday.",0
"Planning and Investment Minister Tran Xuan Gia said Vietnam is committed to opening up the economy but will not be rushed, in a rare interview late on Friday.",0
"Turkey will allow up to 13,000 Turkish Kurd refugees who have lived in Iraq for more than a decade to return home as part of a UN-brokered deal.",0
Serbian President Vojislav Kostunica promised to democratize Serbia and establish the rule of law as he succeeded Milosevic.,0
"A Soviet official offered concessions last November that U.S. negotiator Paul Nitze believed could lead to an agreement on reducing nuclear missiles in Europe, according to a senator who acted as a go-between at the talks.",0
"In an interview this weekend, President Abdelaziz Bouteflika said he is prepared to lift ban on Islamic Salvation Front (FIS) but not with its historical leadership.",0
Leaders of the Azadliq (Freedom) opposition coalition agreed to postpone the demonstration in Baku until 9 November.,0
"The Fijian rebels said they will release Prime Minister Mahendra Chaudhry and more than 30 members of his government, whom they had taken hostage two weeks ago, on the weekend.",0
"The rebel Revolutionary United Front (RUF) announced it will return weapons and military equipment seized last year from United Nations peacekeepers, according to reports reaching here from the country’s capital Freetown.",0
"Under the disengagement plan, Isreal will evacuate all 21 settlements in the Gaza Strip in mid-August, said spokesperson for the Israeli prime minister.",0
"The US Congress agreed to lift embargoes on pharmaceutical sales in late February to Iran, Libya, North Korea, Sudan, and with strings attached, Cuba.",0
"Ethopia has agreed to re-open its borders to UN peackeepers, who are depolyed in the region to oversee a ceasefire between Ethiopia and its neighbor, Eritrea.",0
