Content,Category Code
A typhoon stronger than the cyclone that ravaged Bangladesh nearly two weeks ago raged towards the Philippines on Sunday with winds gusting up to 275 kph (171 mph).,1
"A tornado hit the southern Philippines, relief officials said on Wednesday.",1
"The Philippines' Mayon volcano, rocked by 260 earthquakes within a few hours, erupted for the fourth day on Wednesday but scientists said the worst was yet to come.",1
A massive tidal wave powered by an earthquake swept away villages in Papua New Guinea with a confirmed death toll of least 70 and disaster officials said on Saturday hundreds of children and adults were feared dead.,1
"Thick smog from forest fires in Indonesia has left a remote southern Philippine town in darkness, preventing fishermen from going out to sea, the local mayor said on Wednesday.",1
A heatwave has killed more than 750 people in Chicago.,1
Hundreds of local people on Tuesday mopped up an oil spill from a sunken cargo ship that reached a coastal area near Athens.,1
Japan's second-largest power utility Kansai Electric Power Co Inc detected a small leak of radioactive steam early on Wednesday at a nuclear power plant.,1
New technology has given Russians a virtual reality surprise.,1
"A group of thirsty monkeys stoned a herdsman to death in drought-stricken northern Kenya as he watered his livestock, a newspaper reported on Thursday.",1
"Cairo airport veterinarians on Wednesday destroyed eight uncertified monkeys traveling with Sudanese passengers, fearing the quarantined animals posed an epidemic threat, airport sources said.",1
"Invading Chinese mosquitoes are infecting Japanese cows with a deadly disease, scientists said on Friday.",1
"An owl in the southern Chinese province of Jiangxi has built a nest in a farmer's house so that he can watch the silver screen every night, the China Daily said on Monday.",1
Musicians in billowy white dresses began performing to a sold out North Korean crowd.,1
Two British hot-air balloonists trying to circle the world non-stop set a new world record on Saturday for the longest continuous flight without being refuelled from another aircraft.,1
Bosnian President Alija Izetbegovic said on Wednesday that despite recent progress in peace talks a ceasefire in his country's 41-month war would not be possible until separatist Serbs made a number of concessions.,1
The main rebel group in the Democratic Republic of Congo said on Friday it would block a planned deployment of United Nations peacekeepers until they investigated alleged atrocities by government troops.,0
A spokesman for the the Angolan rebel movement UNITA in Lisbon said on Friday that UNITA would not sign a new peace agreement with the government on Sunday as planned.,0
Bulgaria rejected a call on Monday to help create a land corridor to supply fuel to neighbouring rump Yugoslavia in defiance of United Nations' sanctions.,0
The Yugoslav army on Friday rejected a request for an urgent meeting by Serbian opposition officials struggling to oust President Slobodan Milosevic.,0
"Yugoslav President Slobodan Milosevic has rejected a Russian offer to mediate in the country's political crisis, opposition sources said on Saturday, in a show of determination to hold onto power.",0
"Russian forces imposed a night curfew in the Chechen capital Grozny on Monday, Itar-Tass news agency said.",0
"Serbia banned the only Albanian-language daily newspaper in its predominantly ethnic Albanian province of Kosovo, Tanjug news agency said.",1
Russia used its veto in the U.N. to oppose the use of force to resolve the Kosovo crisis.,0
"A Russian diplomat has defected from his post in Paris, and taken his wife and daughter into hiding in England, Itar-Tass news agency said on Thursday.",1
A Moslem woman identified a defendant in a Sarajevo war crimes trial on Saturday.,1
A Russian tour guide smuggled hundreds of Middle East boat people to the Sweden's island of Gotland.,1
Ecuador accused the United States of dragging out a dispute with the European Union over banana trade.,0
Japan's Imperial Household Agency complained to a Japanese firm that has made a telephone card with a picture of the Crown Prince and his bride-to-be in formal dress.,1
"The Commonwealth's Transcaucasian command sent a formal protest to Azerbaijan on Sunday after Azeri shelling killed a soldier and wounded nine others in Stepanakert, capital of Nagorno-Karabakh.",0
Colombia's President-elect Ernesto Samper denied news reports that claimed he had received campaign donations from the Cali cartel.,0
"Prosecutors are investigating rape allegations against two Finnish U.N. peacekeepers in Bosnia, a defence ministry official said on Thursday.",0
"An investigating judge has expanded an investigation of four Bosnian Croats allegedly involved in a 1993 massacre of Muslims in the Bosnian village of Ahmici, the state news agency Hina reported on Thursday.",0
"Around 20,000 Albanians rallied in Germany on Saturday to demand independence of the Yugoslav province of Kosovo.",0
A senior Canadian official on Thursday demanded that the international community provide much more support to the U.N.-led administration in Kosovo.,0
Furious Kosovo Serbs demanded the return of Serb and Yugoslav forces on Monday after an eruption of violence in and around the flashpoint city of Mitrovica.,1
Albanian politicians in Macedonia demanded international mediation in peace talks on Wednesday after Macedonian President Boris Trajkovski accused them of blocking negotiations.,1
"Yugoslavia demanded on Wednesday that the NATO-led peacekeeping force and U.N. mission pull out of Kosovo, saying they had failed to protect Serbs and other non-Albanians.",0
"The Security Council on Wednesday demanded an immediate halt to a continuing Croatian offensive into U.N.-protected areas of Croatia inhabited by Serbs that it said was ""in flagrant violation"" of a two-day-old resolution and warned of unspecified further action. ",0
Russia on Friday demanded a Security Council meeting on the NATO bombing on Bosnia.,0
"World governments must take tougher action to protect children from the horrors of war and ethnic cleansing, a European Union seminar demanded on Friday.",0
Taiwan's military has gone on high alert for the weekend inauguration of President-elect Chen Shui-bian.,0
China tested an underground nuclear device on Friday.,1
"Anthrax spores were found at the main post office in Boca Raton, Florida health officials said on Monday.",1
"Israeli warplanes staged mock air raids in south Lebanon on Monday, witnesses said.",1
The French aircraft carrier Foch conducted maneuvers off the port of Toulon on Thursday as part of NATO's display of force against Yugoslavia.,1
U.N. military observers have begun patrolling the edge of the Brcko corridor in northern Bosnia where Serb and Moslem forces have massed for a showdown battle.,1
"Russian ultranationalist leader Vladimir Zhirinovsky sexually harassed a magazine interviewer and her translator on a campaign trip, the magazine said Wednesday.",0
The Angolan rebel movement UNITA threatened to break off peace talks with the government on Wednesday unless Luanda explained an alleged attempt to kill UNITA leader Jonas Savimbi in an air raid at the weekend.,0
United States ambassador Chris Hill threatened to halt mediation unless ethnic Albanian guerrillas are allowed to attend Kosovo peace talks due to start in France on Saturday.,0
The European Union administrator for the divided Bosnian city of Mostar threatened on Friday to send home international police officers unless local Croats dropped a virtual blockade of their Moslem neighbours.,0
Bosnia's Moslem-led government Thursday threatened to call on consumers to boycott goods from any NATO state that obstructs the defence of the former Yugoslav republic.,0
"South Korea threatened on Wednesday to expel a Russian diplomat from Seoul after a South Korean diplomat in the Moscow embassy, who was accused of spying, was forced to leave Russia, the foreign ministry said.",0
"President Boris Yeltsin threatened to use military force against Chechen rebels unless they abide by Russia's demands over a military agreement by six p.m. (1400 GMT), Russian news agencies said.",0
The United States threatened to use a naval blockade to prevent cargo ships from entering Iraq.,0
U.S. President George Bush has threatened to launch an all out attack if Iraq refuses to get out of Kuwait.,1
The U.S. threatened to use its military arsenal in the event of an intervention by Soviet forces.,0
A lone man has been threatening to mail envelopes poisoned with anthrax to abortion clinics around the United States.,0
The Moldovan government on Sunday gave separatist rebels an ultimatum to hand in their guns within two days after nine people were killed in fresh clashes.,0
An Afghan guerrilla commander holding two hostages threatened more kidnappings if Islamabad does not return three confiscated Stinger missiles.,1
Scores of Japanese anti-nuclear campaigners staged a sit-in on Friday near Hiroshima's atom-bomb memorial to protest France's decision to resume testing nuclear weapons.,0
Tibetan monks marched through London on Saturday on the 32nd anniversary of China's occupation of Tibet.,0
"Russian nationalists desecrated a Jewish cemetery in St Petersburg on the eve of the Orthodox Easter, a duty police officer in Russia's second city said on Sunday.",1
Twelve Mongolian democracy activists began a hunger strike in Ulan Bator's central square on Wednesday to press demands for the resignation of President Zhambyn Batmunk.,0
Russia has activated three reserve divisions to quell the worst ethnic violence to explode since the break-up of the Soviet Union.,1
Israeli authorities have stepped up efforts to build a fortified electronic fence dividing Israel from the West Bank.,1
"Russia shut the border of breakaway Chechnya only a few hours after it was opened on Monday, having let only a few of the thousands of trapped refugees pass in each direction.",0
A group of Russian MPs cancelled a visit to Lithuania in protest of their Parliament favouring recognition of Chechen independence.,1
Russia cut off economic aid to Estonia on Friday in what could be the first retaliation to a new Estonian citizenship law passed this week.,0
"Major donors of humanitarian aid have reduced assistance after fighting resumed in war-torn Afghanistan, the United Nations said on Wednesday.",0
"Guinea-Bissau President Joao Bernardo Vieira, whose country is largely controlled by rebels, has suspended military cooperation with former colonial power Portugal, a Foreign Ministry official said on Thursday.",0
The West African bloc ECOWAS on Tuesday withdrew its small peacekeeping force sent to Guinea-Bissau to police a now shattered civil war accord.,1
Belarus President Alexander Lukashenko halted discussions with key parliament members to scrap a referendum on extending his powers.,0
Pakistani mediators seeking to prevent a bloody battle for Kabul walked out of talks with Afghanistan's Islamic Taleban militia.,0
"Sweden recalled its ambassador from Iraq on Thursday after Baghdad, ignoring appeals for clemency, hanged an Iraqi-born Swedish citizen accused of spying for Israel.",0
A truckers strike entered its ninth day on Tuesday amid reports that drivers were blocking highways to press their demands for more pay.,0
The United States declared war on Iraq while assuring Americans the crisis would not delay efforts to revive a moribund U.S. economy.,1
